freq_Hz,Zreal_Ohm,-Zimag_Ohm
10000,0.020043214,-0.012342518
7942.93,0.020032488,-0.0098463049
6309.01,0.020091292,-0.0077591921
5011.2,0.020067399,-0.0061015432
3980.36,0.020041217,-0.0046369794
3161.57,0.020113637,-0.0035772847
2511.21,0.020192766,-0.0026967814
1994.64,0.02019904,-0.001909522
1584.33,0.020135462,-0.0014571118
1258.42,0.02014934,-0.00077524878
999.553,0.020251726,-0.00033614926
793.937,0.020376634,0.00015328791
630.619,0.020343868,0.0004754726
500.896,0.020623697,0.00092142609
397.858,0.020758951,0.0013977884
316.016,0.021052693,0.0020183574
251.009,0.021401595,0.0023182686
199.375,0.02183837,0.0027103564
158.362,0.022396479,0.0030940051
125.786,0.023028061,0.0035646219
99.9105,0.023589835,0.0036895991
79.3582,0.024373152,0.0041543463
63.0336,0.024900049,0.0042951009
50.0672,0.025648206,0.0043354612
39.768,0.026357697,0.0045694923
31.5874,0.026968332,0.0045945709
25.0897,0.027608242,0.0049553077
19.9285,0.028361661,0.005255216
15.8291,0.029249859,0.0054556888
12.5729,0.03024288,0.0057022531
9.98658,0.031126656,0.005824267
7.93227,0.032238528,0.0056340362
6.30054,0.033271288,0.0055107931
5.00448,0.03431884,0.0051972146
3.97502,0.035171669,0.0050888168
3.15733,0.03596454,0.0044509092
2.50784,0.036517593,0.0042774976
1.99196,0.037134349,0.0036960029
1.5822,0.0377074,0.0035853628
1.25673,0.038188042,0.003335191
0.998212,0.038217191,0.0029946743
0.792872,0.03884717,0.0027362773
0.629773,0.039114147,0.0027300758
0.500224,0.039322502,0.0027689001
0.397324,0.039533723,0.0028661006
0.315592,0.039743014,0.0029355153
0.250672,0.040247946,0.0028210154
0.199107,0.040621819,0.0029271114
0.158149,0.040941708,0.003285422
0.125617,0.041252559,0.0036693962
0.0997765,0.04154109,0.0037537659
0.0792518,0.041793933,0.0044095538
0.0629491,0.042446915,0.0047858254
0.05,0.043090973,0.005127753
